FilePath,Severity,Control name,Failed resources,All Resources,Compliance score
/argocd/ServiceAccount/argocd-applicationset-controller/path=2574516067/api=rbac.authorization.k8s.io/v1//ClusterRole/argocd-applicationset-controller/path=363670772/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/argocd-applicationset-controller,High,List Kubernetes secrets,0,0,N/A
/litmus/ServiceAccount/litmus-server-account/path=208802926/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/litmus-admin-crb-for-litmusportal-server/path=225580545/api=rbac.authorization.k8s.io/v1//ClusterRole/litmus-admin-cr-for-litmusportal-server,High,List Kubernetes secrets,0,0,N/A
/system/ServiceAccount/controller-manager/path=3181912268/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/manager-rolebinding/path=736734862/api=rbac.authorization.k8s.io/v1//ClusterRole/manager-role,High,List Kubernetes secrets,0,0,N/A
/system/ServiceAccount/manager/path=2345645658/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/manager-rolebinding/path=2632117545/api=rbac.authorization.k8s.io/v1//ClusterRole/manager-role,High,List Kubernetes secrets,0,0,N/A
/litmus/ServiceAccount/litmus-server-account/path=192025307/api=rbac.authorization.k8s.io/v1//ClusterRole/chaos-cr-for-litmusportal-server/path=3412360237/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/chaos-crb-for-litmusportal-server,High,List Kubernetes secrets,0,0,N/A
/system/ServiceAccount/default/path=3356161056/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/manager-rolebinding/path=3653423852/api=rbac.authorization.k8s.io/v1//ClusterRole/manager-role,High,List Kubernetes secrets,0,0,N/A
/system/ServiceAccount/controller-manager/path=3277536337/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/manager-rolebinding/path=3653423852/api=rbac.authorization.k8s.io/v1//ClusterRole/manager-role,High,List Kubernetes secrets,0,0,N/A
/system/ServiceAccount/default/path=1181230259/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/manager-rolebinding/path=2632117545/api=rbac.authorization.k8s.io/v1//ClusterRole/manager-role,High,List Kubernetes secrets,0,0,N/A
/litmus/ServiceAccount/litmus-server-account/path=242358164/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/litmus-cluster-scope-crb-for-litmusportal-server/path=259135783/api=rbac.authorization.k8s.io/v1//ClusterRole/litmus-cluster-scope-for-litmusportal-server,High,List Kubernetes secrets,0,0,N/A
/system/ServiceAccount/controller-manager/path=2632117545/api=rbac.authorization.k8s.io/v1//ClusterRole/manager-role/path=87588403/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/manager-rolebinding,High,List Kubernetes secrets,0,0,N/A
/spire/ServiceAccount/spire-server/path=1299861037/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/manager-role-binding/path=2632117545/api=rbac.authorization.k8s.io/v1//ClusterRole/manager-role,High,List Kubernetes secrets,0,0,N/A
/argocd/ServiceAccount/argocd-applicationset-controller/path=2574516067/api=rbac.authorization.k8s.io/v1//ClusterRole/argocd-applicationset-controller/path=372712709/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/argocd-applicationset-controller,High,List Kubernetes secrets,0,0,N/A
/mongodb/ServiceAccount/mongodb-enterprise-appdb/path=3888459776/api=rbac.authorization.k8s.io/v1/mongodb/Role/mongodb-enterprise-appdb/path=3905237395/api=rbac.authorization.k8s.io/v1/mongodb/RoleBinding/mongodb-enterprise-appdb,High,List Kubernetes secrets,0,0,N/A
/kong/ServiceAccount/kong-serviceaccount/path=2955664223/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/kong-ingress/path=740234485/api=rbac.authorization.k8s.io/v1//ClusterRole/kong-ingress,High,List Kubernetes secrets,0,0,N/A
/argocd/ServiceAccount/argocd-application-controller/path=2533842747/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/argocd-application-controller/path=2921278705/api=rbac.authorization.k8s.io/v1//ClusterRole/argocd-application-controller,High,List Kubernetes secrets,0,0,N/A
/spire/ServiceAccount/spire-server/path=120976097/api=rbac.authorization.k8s.io/v1//ClusterRole/manager-role/path=1299861037/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/manager-role-binding,High,List Kubernetes secrets,0,0,N/A
/system/ServiceAccount/manager/path=2345645658/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/manager-rolebinding/path=3653423852/api=rbac.authorization.k8s.io/v1//ClusterRole/manager-role,High,List Kubernetes secrets,0,0,N/A
/mongodb/ServiceAccount/mongodb-enterprise-appdb/path=3545709064/api=rbac.authorization.k8s.io/v1/mongodb/Role/mongodb-enterprise-appdb/path=3905237395/api=rbac.authorization.k8s.io/v1/mongodb/RoleBinding/mongodb-enterprise-appdb,High,List Kubernetes secrets,0,0,N/A
/system/ServiceAccount/default/path=1181230259/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/manager-rolebinding/path=3653423852/api=rbac.authorization.k8s.io/v1//ClusterRole/manager-role,High,List Kubernetes secrets,0,0,N/A
/mongodb/ServiceAccount/mongodb-enterprise-appdb/path=2648768772/api=rbac.authorization.k8s.io/v1/mongodb/RoleBinding/mongodb-enterprise-appdb/path=3545709064/api=rbac.authorization.k8s.io/v1/mongodb/Role/mongodb-enterprise-appdb,High,List Kubernetes secrets,0,0,N/A
//ServiceAccount//path=2284543440/api=rbac.authorization.k8s.io/v1//RoleBinding/subscriber-role-binding/path=2301321059/api=rbac.authorization.k8s.io/v1//Role/subscriber-role,High,List Kubernetes secrets,0,0,N/A
//ServiceAccount/litmus-cluster-scope/path=3145897519/api=rbac.authorization.k8s.io/v1//ClusterRole/litmus-cluster-scope/path=3162675138/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/litmus-cluster-scope,High,List Kubernetes secrets,0,0,N/A
//ServiceAccount//path=2872437112/api=rbac.authorization.k8s.io/v1//ClusterRole/subscriber-cluster-role/path=2889214731/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/subscriber-cluster-role-binding,High,List Kubernetes secrets,0,0,N/A
/argocd/ServiceAccount/argocd-application-controller/path=2729359070/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/argocd-application-controller/path=352310992/api=rbac.authorization.k8s.io/v1//ClusterRole/argocd-application-controller,High,List Kubernetes secrets,0,0,N/A
/monitoring/ServiceAccount/kube-state-metrics/path=1833992318/api=rbac.authorization.k8s.io/v1//ClusterRole/kube-state-metrics/path=2537144618/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/kube-state-metrics,High,List Kubernetes secrets,0,0,N/A
/litmus/ServiceAccount/litmus-server-account/path=1839187774/api=rbac.authorization.k8s.io/v1//ClusterRole/event-tracker-cr-for-litmusportal-server/path=1855965393/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/event-tracker-crb-for-litmusportal-server,High,List Kubernetes secrets,0,0,N/A
/central-namespace/ServiceAccount/test-service-account/path=2296576876/api=rbac.authorization.k8s.io/v1/central-namespace/Role/mongodb-enterprise-operator-multi-role/path=2313354495/api=rbac.authorization.k8s.io/v1/central-namespace/RoleBinding/mongodb-enterprise-operator-multi-role-binding,High,List Kubernetes secrets,0,0,N/A
/monitoring/ServiceAccount/kube-state-metrics/path=1833992318/api=rbac.authorization.k8s.io/v1//ClusterRole/kube-state-metrics/path=3415447869/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/kube-state-metrics,High,List Kubernetes secrets,0,0,N/A
/kube-system/ServiceAccount/secrets-store-csi-driver/path=2628778356/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/secretprovidersyncing-rolebinding/path=4096860283/api=rbac.authorization.k8s.io/v1//ClusterRole/secretprovidersyncing-role,High,List Kubernetes secrets,0,0,N/A
/secure/ServiceAccount/reconciler/path=222392743/api=rbac.authorization.k8s.io/v1/webapp/Role/reconciler/path=3334489598/api=rbac.authorization.k8s.io/v1/secure/RoleBinding/reconciler,High,List Kubernetes secrets,0,0,N/A
/argocd/ServiceAccount/argocd-server/path=2399621795/api=rbac.authorization.k8s.io/v1//ClusterRole/argocd-server/path=355935090/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/argocd-server,High,List Kubernetes secrets,0,0,N/A
/central-namespace/ServiceAccount/test-service-account/path=2238717694/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/mongodb-enterprise-operator-multi-cluster-role-binding/path=2255495313/api=rbac.authorization.k8s.io/v1//ClusterRole/mongodb-enterprise-operator-multi-cluster-role,High,List Kubernetes secrets,0,0,N/A
/monitoring/ServiceAccount/kube-state-metrics/path=1833992318/api=rbac.authorization.k8s.io/v1//ClusterRole/kube-state-metrics/path=1886998295/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/kube-state-metrics,High,List Kubernetes secrets,0,0,N/A
/argo-rollouts/ServiceAccount/argo-rollouts/path=1091856977/api=rbac.authorization.k8s.io/v1//ClusterRole/argo-rollouts/path=4276808847/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/argo-rollouts,High,List Kubernetes secrets,0,0,N/A
/litmus/ServiceAccount/litmus-server-account/path=175247688/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/chaos-crb-for-litmusportal-server/path=3395582618/api=rbac.authorization.k8s.io/v1//ClusterRole/chaos-cr-for-litmusportal-server,High,List Kubernetes secrets,0,0,N/A
/default/ServiceAccount/grafana-operator-controller-manager/path=2082006846/api=rbac.authorization.k8s.io/v1/default/Role/grafana-operator-permissions/path=2098784465/api=rbac.authorization.k8s.io/v1/default/RoleBinding/grafana-operator-permissions,High,List Kubernetes secrets,0,0,N/A
/argocd/ServiceAccount/argocd-application-controller/path=255269376/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/argocd-application-controller/path=2880965522/api=rbac.authorization.k8s.io/v1//ClusterRole/argocd-application-controller,High,List Kubernetes secrets,0,0,N/A
/litmus/ServiceAccount/litmus-server-account/path=242358164/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/litmus-cluster-scope-crb-for-litmusportal-server/path=3328472142/api=rbac.authorization.k8s.io/v1//ClusterRole/litmus-cluster-scope-for-litmusportal-server,High,List Kubernetes secrets,0,0,N/A
/secure/ServiceAccount/reconciler/path=3317711979/api=rbac.authorization.k8s.io/v1/secure/Role/reconciler/path=3334489598/api=rbac.authorization.k8s.io/v1/secure/RoleBinding/reconciler,High,List Kubernetes secrets,0,0,N/A
/monitoring/ServiceAccount/prometheus-operator/path=1282805153/api=rbac.authorization.k8s.io/v1//ClusterRole/prometheus-operator/path=2504573513/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/prometheus-operator,High,List Kubernetes secrets,0,0,N/A
/argocd/ServiceAccount/argocd-application-controller/path=2729359070/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/argocd-application-controller/path=2880965522/api=rbac.authorization.k8s.io/v1//ClusterRole/argocd-application-controller,High,List Kubernetes secrets,0,0,N/A
/kube-system/ServiceAccount/secrets-store-csi-driver/path=225954316/api=rbac.authorization.k8s.io/v1//ClusterRole/secretproviderrotation-role/path=242731935/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/secretproviderrotation-rolebinding,High,List Kubernetes secrets,0,0,N/A
//ServiceAccount/litmus-namespace-scope/path=1319773720/api=rbac.authorization.k8s.io/v1//RoleBinding/litmus-namespace-scope/path=1370106577/api=rbac.authorization.k8s.io/v1//Role/litmus-namespace-scope,High,List Kubernetes secrets,0,0,N/A
/flux-system/ServiceAccount/helm-controller/path=3016128092/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/crd-controller/path=3032905711/api=rbac.authorization.k8s.io/v1//ClusterRole/crd-controller,High,List Kubernetes secrets,0,0,N/A
/flux-system/ServiceAccount/image-reflector-controller/path=3016128092/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/crd-controller/path=3032905711/api=rbac.authorization.k8s.io/v1//ClusterRole/crd-controller,High,List Kubernetes secrets,0,0,N/A
//ServiceAccount/litmus-admin/path=2318098678/api=rbac.authorization.k8s.io/v1//Role/litmus-admin/path=2368431535/api=rbac.authorization.k8s.io/v1//RoleBinding/litmus-admin,High,List Kubernetes secrets,0,0,N/A
/mongodb/ServiceAccount/mongodb-enterprise-appdb/path=1429135707/api=rbac.authorization.k8s.io/v1/member-namespace/Role/mongodb-enterprise-appdb/path=3905237395/api=rbac.authorization.k8s.io/v1/mongodb/RoleBinding/mongodb-enterprise-appdb,High,List Kubernetes secrets,0,0,N/A
